timestamp,power,appliance1,appliance2,appliance3,appliance5,appliance7
1649696529,301.79,0,301.79,0.0,0.0,0.0
1649696535,307.24,0,307.24,0.0,0.0,0.0
1649696540,298.34,0,298.34,0.0,0.0,0.0
1649696546,299.98,0,299.98,0.0,0.0,0.0
1649696552,306.57,0,306.57,0.0,0.0,0.0
1649696557,303.95,0,303.95,0.0,0.0,0.0
1649696563,306.09,0,306.09,0.0,0.0,0.0
1649696568,297.54,0,297.54,0.0,0.0,0.0
1649696574,302.01,0,302.01,0.0,0.0,0.0
1649696579,292.16,0,292.16,0.0,0.0,0.0
1649696584,289.21,0,289.21,0.0,0.0,0.0
1649696590,292.33,0,292.33,0.0,0.0,0.0
1649696595,294.13,0,294.13,0.0,0.0,0.0
1649696601,287.77,0,287.77,0.0,0.0,0.0
1649696606,286.68,0,286.68,0.0,0.0,0.0
1649696612,286.02,0,286.02,0.0,0.0,0.0
1649696618,283.94,0,283.94,0.0,0.0,0.0
1649696623,273.90,0,273.9,0.0,0.0,0.0
1649696628,269.69,0,269.69,0.0,0.0,0.0
1649696634,270.29,0,270.29,0.0,0.0,0.0
1649696639,276.74,0,276.74,0.0,0.0,0.0
1649696645,285.09,0,285.09,0.0,0.0,0.0
1649696651,301.89,0,301.89,0.0,0.0,0.0
1649696656,302.51,0,302.51,0.0,0.0,0.0
1649696661,292.20,0,292.2,0.0,0.0,0.0
1649696667,308.91,0,308.91,0.0,0.0,0.0
1649696672,305.50,0,305.5,0.0,0.0,0.0
1649696678,301.19,0,301.19,0.0,0.0,0.0
1649696683,294.80,0,294.8,0.0,0.0,0.0
1649696689,285.76,0,285.76,0.0,0.0,0.0
1649696694,286.39,0,286.39,0.0,0.0,0.0
1649696700,301.61,0,301.61,0.0,0.0,0.0
1649696705,297.41,0,297.41,0.0,0.0,0.0
1649696711,294.72,0,294.72,0.0,0.0,0.0
1649696716,295.49,0,295.49,0.0,0.0,0.0
1649696722,291.21,0,291.21,0.0,0.0,0.0
1649696728,293.03,0,293.03,0.0,0.0,0.0
1649696733,292.37,0,292.37,0.0,0.0,0.0
1649696739,295.69,0,295.69,0.0,0.0,0.0
1649696744,299.58,0,299.58,0.0,0.0,0.0
1649696750,289.88,0,289.88,0.0,0.0,0.0
1649696755,295.34,0,295.34,0.0,0.0,0.0
1649696761,298.20,0,298.2,0.0,0.0,0.0
1649696766,302.05,0,302.05,0.0,0.0,0.0
1649696771,298.55,0,298.55,0.0,0.0,0.0
1649696777,292.06,0,292.06,0.0,0.0,0.0
1649696782,287.48,0,287.48,0.0,0.0,0.0
1649696788,289.35,0,289.35,0.0,0.0,0.0
1649696794,287.93,0,287.93,0.0,0.0,0.0
1649696799,288.09,0,288.09,0.0,0.0,0.0
